m/t c,m/t e,T1,T2,T3,T4,T5,T6,T7,p e,p c
3,10,19.5,16.5,35.25,19,11.5,41,60.75,-65,140
5,10,20.75,18,32,20.75,13,40.75,60.75,-65,128
7,10,21,18.25,29.25,21,13,39.75,60.25,-65,120
9,10,21,18.5,28,21,13,39.5,61,-64,120
11,10,21.5,18.5,27.5,21.5,14,39.5,61.5,-63,120
2,10,21,18,48,21,18,48,68,-67,160
4,10,21,18,35,21,13,45,69,-67,138
6,10,21,18,30,21,12,41,68,-67,125
8,10,21,18,28,21,12,40,69,-67,120
10,10,21,18,27,21,11.5,39,69,-67,118
12,10,20,17,26,20,12,39,69,-67,115
2,20,19,18,40,19,13,42,62,-64,141
4,20,19,15,37,18,16,42,62,-64,128
6,20,18,15,27,18,16,39,59,-64,119
8,20,19,18,27,19,13,38,59,-64,116
10,20,19,18,26,19,13,37,59,-64,113
12,20,19,18,25,19,13,36,60,-64,112
2,20,19,18,43,20,13,44,64,-64,155
4,20,19,18,34,19,13,42,62,-64,131
6,20,18,18,29,19,12.5,40,62,-64,120
8,20,19,18,26.5,19,13,38,62,-64,117
10,20,19,18,25.5,19,12.5,36,64,-64,113
12,20,19,17.5,24,19,12,36,64,-64,111
