,m/t c,m/t e,T1,T2,T3,T4,T5,T6,T7,p e,p c,dp,dT_e,dT_c,Tg_e,Tg_c,dQ_e,dQ_c,cop,eta
0,0.003,0.01,292.65,289.65,308.4,292.15,284.65,314.15,333.9,36325,241325,205000,-3.0,16.25,6.5,-13.875,-125.5683758844866,203.82537412743264,4.66098381140885,0.7371311878304003
1,0.005,0.01,293.9,291.15,305.15,293.9,286.15,313.9,333.9,36325,229325,193000,-2.75,11.25,6.375,-14.375,-115.07434850340026,235.18328589178049,4.784751265225371,0.7405909286790491
2,0.007,0.01,294.15,291.4,302.4,294.15,286.15,312.9,333.4,36325,221325,185000,-2.75,8.25,6.625,-14.625,-115.06931195510683,241.47602382292135,4.83766622204906,0.7317916438776241
3,0.009,0.01,294.15,291.65,301.15,294.15,286.15,312.65,334.15,37325,221325,184000,-2.5,7.0,6.75,-15.0,-104.60612382250198,263.4427187465984,4.738145647231213,0.7037325577929032
4,0.011,0.01,294.65,291.65,300.65,294.65,287.15,312.65,334.65,38325,221325,183000,-3.0,6.0,6.0,-15.0,-125.522274656933,275.98579073125364,4.773366904458699,0.7005255605347156
5,0.002,0.01,294.15,291.15,321.15,294.15,291.15,321.15,341.15,34325,261325,227000,-3.0,27.0,1.5,-13.5,-125.53301270400087,225.73067426281457,4.40582202055985,0.7907805071098797
6,0.004,0.01,294.15,291.15,308.15,294.15,286.15,318.15,342.15,34325,239325,205000,-3.0,14.0,6.5,-17.0,-125.53301270400087,234.1154155286916,3.8855338007276767,0.6438716955012116
7,0.006,0.01,294.15,291.15,303.15,294.15,285.15,314.15,341.15,34325,226325,192000,-3.0,9.0,7.5,-15.5,-125.53301270400087,225.78898603175386,3.9162559807614454,0.6203725543626251
8,0.008,0.01,294.15,291.15,301.15,294.15,285.15,313.15,342.15,34325,221325,187000,-3.0,7.0,7.5,-15.5,-125.53301270400087,234.17130555253198,3.8296410025729744,0.5977039614401071
9,0.01,0.01,294.15,291.15,300.15,294.15,284.65,312.15,342.15,34325,219325,185000,-3.0,6.0,8.0,-15.0,-125.53301270400087,250.90977504310882,3.8013168570690614,0.5873738614566101
10,0.012,0.01,293.15,290.15,299.15,293.15,285.15,312.15,342.15,34325,216325,182000,-3.0,6.0,6.5,-16.0,-125.55604698335534,301.1272379423611,3.830452221836398,0.5887591826621685
11,0.002,0.02,292.15,291.15,313.15,292.15,286.15,315.15,335.15,37325,242325,205000,-1.0,21.0,5.5,-12.5,-83.70354592410644,175.58679212096175,4.644077628924755,0.7313255173957263
12,0.004,0.02,292.15,288.15,310.15,291.15,289.15,315.15,335.15,37325,229325,192000,-4.0,19.0,1.0,-14.5,-334.92118219827785,317.76255730004283,4.92694902850823,0.7635946027160776
13,0.006,0.02,291.15,288.15,300.15,291.15,289.15,312.15,332.15,37325,220325,183000,-3.0,9.0,0.5,-16.5,-251.21763627417138,225.86567264826581,5.379528613725686,0.8090969436532577
14,0.008,0.02,292.15,291.15,300.15,292.15,286.15,311.15,332.15,37325,217325,180000,-1.0,8.0,5.5,-15.0,-83.70354592410644,267.67281182804516,5.008467212276677,0.7335174709718357
15,0.01,0.02,292.15,291.15,299.15,292.15,286.15,310.15,332.15,37325,214325,177000,-1.0,7.0,5.5,-14.5,-83.70354592410644,292.78347431924385,5.009222616759068,0.7259847840266744
16,0.012,0.02,292.15,291.15,298.15,292.15,286.15,309.15,333.15,37325,213325,176000,-1.0,6.0,5.5,-14.0,-83.70354592410644,301.1667587450391,4.879653815030163,0.7037912353676817
17,0.002,0.02,292.15,291.15,316.15,293.15,286.15,317.15,337.15,37325,256325,219000,-1.0,23.0,5.5,-12.5,-83.70354592410644,192.2954881264821,4.421318729082905,0.721813109267881
18,0.004,0.02,292.15,291.15,307.15,292.15,286.15,315.15,335.15,37325,232325,195000,-1.0,15.0,5.5,-15.5,-83.70354592410644,250.87079064428207,4.618511919967881,0.709616588375568
19,0.006,0.02,291.15,291.15,302.15,292.15,285.65,313.15,335.15,37325,221325,184000,0.0,10.0,5.5,-16.0,0.0,250.9181827704105,4.561381876247389,0.6762302815637269
20,0.008,0.02,292.15,291.15,299.65,292.15,286.15,311.15,335.15,37325,218325,181000,-1.0,7.5,5.5,-15.25,-83.70354592410644,250.95013608055575,4.620635715881432,0.6786105539016459
21,0.01,0.02,292.15,291.15,298.65,292.15,285.65,309.15,337.15,37325,214325,177000,-1.0,6.5,6.0,-13.75,-83.70354592410644,271.8783702217118,4.3561566607674145,0.6283125261246847
22,0.012,0.02,292.15,290.65,297.15,292.15,285.15,309.15,337.15,37325,212325,175000,-1.5,5.0,6.25,-14.5,-125.56151807391318,250.9884125266137,4.309664123953448,0.6162596372954995
